date,open,high,close,low,volume,p_change
2019-06-04,3632.56,3636.13,3598.47,3584.46,87097096.0,-0.92
2019-06-05,3627.79,3634.45,3597.11,3593.95,88642016.0,-0.04
2019-06-06,3601.04,3601.04,3564.68,3557.02,85534400.0,-0.9
2019-06-10,3578.01,3623.73,3610.74,3568.28,92375064.0,1.29
2019-06-11,3617.52,3723.14,3719.28,3617.52,143482816.0,3.01
2019-06-12,3706.86,3711.88,3691.1,3683.94,119178856.0,-0.76
2019-06-13,3689.58,3697.59,3685.39,3654.27,96331712.0,-0.15
2019-06-14,3690.48,3709.65,3654.88,3650.91,101817008.0,-0.83
2019-06-17,3654.44,3683.77,3654.82,3645.5,72976672.0,-0.0
2019-06-18,3661.13,3675.65,3667.62,3638.78,70692264.0,0.35
2019-06-19,3761.34,3771.35,3715.94,3715.13,125595720.0,1.32
2019-06-20,3718.94,3845.79,3828.52,3717.19,168872064.0,3.03
2019-06-21,3832.73,3856.09,3833.94,3817.31,153635152.0,0.14
2019-06-24,3836.31,3853.55,3841.27,3819.77,100084624.0,0.19
2019-06-25,3837.43,3838.06,3801.31,3755.01,124075912.0,-1.04
2019-06-26,3779.51,3809.76,3794.33,3771.72,81820280.0,-0.18
2019-06-27,3807.54,3854.08,3834.82,3805.83,105316360.0,1.07
2019-06-28,3832.06,3835.23,3825.59,3803.05,84766144.0,-0.24
2019-07-01,3899.33,3936.67,3935.81,3886.91,158370352.0,2.88
2019-07-02,3931.05,3942.43,3937.17,3918.94,131863504.0,0.04
2019-07-03,3927.44,3927.44,3893.53,3878.84,111992608.0,-1.11
2019-07-04,3895.2,3906.89,3873.1,3854.69,99342256.0,-0.53
2019-07-05,3875.37,3900.31,3893.2,3857.93,74006528.0,0.52
2019-07-08,3875.75,3875.75,3802.79,3775.03,109539080.0,-2.32
2019-07-09,3798.1,3811.1,3793.13,3774.76,74842728.0,-0.25
2019-07-10,3807.95,3810.4,3786.74,3774.23,72833944.0,-0.17
2019-07-11,3806.19,3830.74,3785.22,3774.41,75311968.0,-0.04
2019-07-12,3783.07,3820.24,3808.73,3774.52,75465968.0,0.62
2019-07-15,3792.64,3844.87,3824.19,3745.85,101205216.0,0.41
